Complexity,Loss,Equation
1,0.12734985,"1.211369"
6,0.11307832,"(Se ^ -0.22292398) * 1.1553878"
8,0.11307336,"((Se ^ -0.18913063) * 1.3794578) + -0.22375883"
9,0.09982274,"((Re ^ -0.22945052) / Se) + 0.8966898"
11,0.097292,"((Re ^ -0.2797188) / (0.488201 * Se)) + 0.72024834"
13,0.09052258,"(((0.22743377 - (Re ^ -0.16454414)) * -1.9841167) / Se) + 0.87747"
15,0.090494156,"(((0.22743377 - ((Re + -0.94934) ^ -0.16454414)) * -1.9841167) / Se) + 0.87747"
17,0.0883074,"(((((0.25606337 - (Re ^ -0.15980455)) * 1.4989578) / Se) * -1.8599384) + 0.8241593) - 0.025705218"
19,0.08821686,"((0.25606337 - (Re ^ -0.15980455)) * ((1.4989578 / Se) * -1.8599384)) + (0.8241593 + (0.025705218 * -0.7277018))"
