Complexity,Loss,Equation
1,0.114223465,"1.2045338"
4,0.1129025,"x0 ^ -0.39416245"
6,0.09625807,"2.15308 - (x0 ^ 0.3495966)"
9,0.084936135,"((x1 ^ -0.2188506) / x0) + 0.86793923"
11,0.07666849,"(((x1 ^ -0.47096553) * 5.5921597) / x0) + 0.80227304"
13,0.076637425,"(((x1 ^ -0.46758965) + -0.001622871) * (5.5539036 / x0)) + 0.8084827"
16,0.07658558,"0.8084827 + (((x2 * -0.013015539) + ((x1 ^ -0.46758965) * 5.5921597)) / x0)"
18,0.07658415,"(((x1 ^ -0.47010028) * (5.5950403 / x0)) + ((x2 ^ -0.39205235) * 0.0915844)) + 0.70320433"
