Complexity,Loss,Equation
1,0.12734985,"1.2114143"
6,0.11307831,"(Se ^ -0.22290553) * 1.1553754"
8,0.11306863,"((Se ^ -0.12643261) * 2.1096375) - 0.953183"
9,0.09787789,"((71.95075 / Re) / Se) + 0.9962432"
11,0.089111164,"((Se ^ -1.9506996) * (36.755165 / Re)) + 1.0548257"
13,0.08891272,"((((Se * 0.13426667) ^ -1.8543564) / Re) + 1.337094) - 0.2939777"
16,0.08854474,"(Se ^ -0.093431704) + ((((Se * 0.20044902) ^ -1.5645152) * 4.1102457) / Re)"
18,0.088464886,"(Se ^ -0.093431704) + (((((Se * 0.20044902) ^ -1.5645152) * 4.1102457) / Re) - -0.013530601)"
20,0.088404484,"((Se ^ -0.093431704) + ((4.1102457 * (((Se * 0.20044902) ^ -1.5645152) / Re)) - -0.013530601)) ^ 0.9840464"
