Complexity,Loss,Equation
1,0.6307602,"1.700975"
4,0.48022613,"Se - -0.80240035"
6,0.4767239,"(Se ^ 1.2081021) + 0.8057982"
9,0.4400703,"((Re ^ -0.29334462) * 4.818308) + Se"
11,0.43989447,"((Re ^ -0.29334462) * (1.0289052 / 0.211987)) + Se"
13,0.43778187,"(((Re * 0.0026332014) ^ -0.3690399) + Se) / (1.1108137 - 0.033441566)"
17,0.43775395,"((((-0.4312513 * (Re * (0.013261955 / 1.4942788))) / -1.698275) ^ -0.3690399) + Se) / 1.1108137"
19,0.43763378,"((((((Re * -0.4312513) - 1.4942788) * 0.013261955) / 1.4942788) / -1.2770623) ^ -0.3690399) + (Se / 1.1108137)"
