Complexity,Loss,Equation
1,15903.767,"46.87589"
2,3.9999988,"quart(x0)"
4,1.1057062e-10,"quart(x0) + -2.0"
7,1.1056832e-10,"sin(2.4139223e-7) + (quart(x0) + -2.0000002)"
8,1.0994064e-10,"(x0 * 1.1603983e-6) + (quart(x0) + -1.9999995)"
10,1.0973202e-10,"(((x0 * x0) * -4.0941603e-7) + quart(x0)) + -1.9999993"
11,1.08082814e-10,"quart(x0) + ((exp(x0 * 0.9417626) * 2.1388016e-7) + -2.0000002)"
15,7.774758e-11,"(((x0 * ((x0 * 1.1289433e-7) + quart(x0))) * 7.963334e-9) + quart(x0)) + -1.9999979"
20,6.7224934e-11,"(((x0 * ((x0 + -1.921204) * x0)) * 2.1388016e-7) * ((x3 + x1) * 0.3068414)) + (quart(x0) + -2.0000002)"
