Complexity,Loss,Equation
1,46.73141,"-0.26317117"
2,1.9508838e-13,"inv(x1)"
4,4.9793503e-14,"inv(x1) + -3.4226105e-8"
9,1.5845103e-14,"(inv(x1) * 0.96700615) + (inv(x1) * 0.032993864)"
11,1.3196111e-14,"(inv(x1) + 0.00075625355) + ((inv(x1) * 1.7553372e-8) + -0.00075626373)"
13,1.3185009e-14,"(inv(x1) + (((inv(x1) + 0.78004783) * 2.9630794e-8) + -0.0007562854)) + 0.0007562611"
19,4.2743586e-15,"(inv(x1) + 0.0007562452) + (inv(inv((x1 + 0.10310583) * 95.35517) + -1322.2915) + (inv(x1) * 3.5070197e-8))"
23,3.98126e-15,"(inv(x1) + (inv((x0 * inv(((x1 + 0.10310583) * x1) * 2135.7139)) + -1322.2908) + (inv(x1) * 3.240971e-8))) + 0.0007562452"
28,3.848033e-15,"(inv(x1) + (inv((x0 * inv((x1 + 0.10310583) * (inv(x4 + (x2 + x3)) * 2135.7139))) + -1322.2908) + (inv(x1) * 3.240971e-8))) + 0.0007562452"
